#,name,uri,tel,open hours,lat,address,description,url,
1,Le Buffet,lеbuffet,712156033,Пн-Вс: 08:00-23:00,"41.29283, 69.26236","ул. Усмана Насыра, 22","Уютная Французская кофейня Le Buffet! Вкуснейший кофе, изысканные блюда среднеземноморской кухни, уникальные кондитерские изделия.",https://www.facebook.com/Le-Buffet-Tashkent,
2,Book cafe,bookcafe,712337263,"Пн: 11:00-23:00, Вт-Сб: 8:00-23:00, Вс: 12:00-21:00","41.30795, 69.2825","8, Istiqbol str.","У современного человека каждая минута – на вес золота. Постоянное движение вперед и самосовершенствование – залог успеха в любом начинании. Но как же хочется порой отвлечься от городской суеты и отдохнуть. Только у нас любители интеллектуального отдыха могут в непринужденной обстановке, наслаждаться книжными новинками и классической литературой, за чашкой отличного кофе, ну, или, просто приятно провести время в компании успешных и интересных людей.",https://www.facebook.com/bookcafetashkent/,
3,Bon!,bon,712563404,,"41.30531, 69.27318",,,,
4,Jum,jum,911921561,,"41.26515, 69.26432",,,, 
5,Coffee mania,coffe-mania,903204943,,"41.32134, 69.25781", ,,,
6,Jum,jum2,911921561,,"41.29919, 69.24968",,,,
7,Чайкоф,chaykof,711501666,,"41.29615, 69.2809",,,,
8,Чайкоф,chaykof2,711501666,,"41.3165, 69.23124",,,,
9,Don Coffeone,don-coffeone,903567440,,"41.36711, 69.29139",,,,
10,Ecorn,ecorn,712157159,,"41.30971, 69.29239",,,,
11,Coffe Inn,coffeeinn,909259656,,"41.30839, 69.29086",,,,
12,Coffee cat,coffeecat,909955009,,"41.32957, 69.30501",,,,
13,Mojo cafe,mojo,977246724,,"41.29445, 69.25368",,,,
14,Love coffee,lovecoffee,,,"41.27523, 69.24457",,,,
15,Coffee milk,coffeemilk,911638080,,"41.3033, 69.28719",,,,
16,Caffelito,caffelito,946520151,,"41.31111, 69.27342",,,,
17,Canella,canella,971305030,,"41.2986, 69.26746",,,,
18,Room 5,room5,974808166,,"41.31054, 69.28744",,,,
20,Muffin,muffin,977709031,,"41.3149, 69.28746",,,,
21,Caramel,caramel,712688484,,"41.32655, 69.33415",,,,
22,Coffee mania,coffe-mania,903204943,,"41.31977, 69.26612",,,,
23,Bruno,bruno,998555000,,"41.3166, 69.23105",,,,
24,Cafe Bellissimo,bellissimo,711442224,,"41.29806, 69.24944",,,,
25,Black Bear Kofi,blackbear,903183222,,"41.32921, 69.30565",,,,
26,Avto cafe,avtocafe,712006020,,"41.32144, 69.24442",,,,
27,Cari Cake cafe,caricake,977011122,,"41.31486, 69.28901",,,,
28,Pappa Roti,papparoti,,,"41.29721, 69.28106",,,,
29,Angel's cafe,angelscafe,712526565,,"41.29898, 69.27246",,,,
30,Joy Coffee,joy,711132200,,"41.2947, 69.27689",,,,
31,Le Buffet,lеbuffet1,712156033,,"41.29283, 69.26236",,,,
32,Cake Lab,cakelab,712687667,,"41.28641, 69.25281",,,,
33,Bon!,bon,712563404,,"41.27962, 69.24765",,,,
34,Viva Maria Chocolaterie,vivamaria,712157292,,"41.28959, 69.25884",,,,
35,Bonte,bonte,712334446,,"41.31187, 69.28803",,,,
36,Кафе Лофт,loft,951454545,,"41.30546, 69.25067",,,,
37,Caffelito,caffelito1,946520151,,"41.2831, 69.2224",,,,
38,B&B,bb,712816060,,"41.29168, 69.25995",,,,
39,Ecorn,ecorn1,712157159,,"41.29781, 69.26774",,,,
40,Bon!,bon2,712563404,,"41.32339, 69.30343",,,,
41,La Villa,lavilla,971316003,,"41.32458, 69.30373",,,,
42,Caffelito,caffelito2,946520151,,"41.30099, 69.26302",,,,
43,Caffelito,caffelito3,946520151,,"41.32751, 69.34003",,,,
44,Caffelito,caffelito4,946520151,,"41.35299, 69.34538",,,,
45,La Plaka,laplaka,974226694,,"41.29432, 69.26927",,,,
46,Caffee'issimo,caffeeissimo,712050152,,"41.33261, 69.28393",,,,
47,Dolce Vita,dolcevita,909351252,,"41.33133, 69.28453",,,,
48,Safia,safia,712654773,,"41.32721, 69.28529",,,,
49,Bibigon,bibigon,713007300,,"41.32562, 69.33245",,,,
50,Safia,safia2,712654773,,"41.33715, 69.35553",,,,
51,Safia,safia3,712654773,,"41.36701, 69.29128",,,,
52,Safia,safia4,712654773,,"41.3169, 69.28972",,,,
53,Timekeeper,timekeeper,712322266,,"41.3049, 69.28116",,,,
54,Cake lab,cackelab2,712687667,,"41.32435, 69.32364",,,,
55,Bon!,bon3,998712563404,,"41.29505, 69.27171",,,,
56,Caffee'issimo,cafeissimo2,712050152,,"41.32764, 69.33742",,,,
57,Coffee One,coffeeone,909196538,,"41.32638, 69.33286",,,,
58,Миндаль,mindal,998777117,,"41.32863, 69.27809",,,,
59,Bruno,bruno2,998555000,,"41.36436, 69.28642",,,,
60,Antract,antract,,,"41.32775, 69.34327",,,,
61,Tea & Coffee house,teacoffeehouse,711426060,,"41.28994, 69.25928",,,,
62,Bruno,bruno3,998555000,,"41.31775, 69.28822",,,,
63,Coffee Club,coffeeclub,,,"41.30771, 69.26641",,,,
64,Дом выпечки,domvypechki,912560315,,"41.30476, 69.26855",,,,
